Place,Longitude,Latitude,Weight,Team,Content,Comments,Related,Type,Negative,Positive,Neutral,Topographical_features,Topographical_features_general
Gibeah,35.231009,31.823781,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=1+Sam+10%3A10&version=ESV"">1 Sam 10:10</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+10%3A26&version=ESV"">1 Sam 10:26</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+11%3A4&version=ESV"">1 Sam 11:4</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+13%3A2&version=ESV"">1 Sam 13:2</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+13%3A15&version=ESV"">1 Sam 13:15</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+14%3A2&version=ESV"">1 Sam 14:2</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+14%3A16&version=ESV"">1 Sam 14:16</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+15%3A34&version=ESV"">1 Sam 15:34</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+22%3A6&version=ESV"">1 Sam 22:6</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+23%3A19&version=ESV"">1 Sam 23:19</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Sam+26%3A1&version=ESV"">1 Sam 26:1</a>",,,,,,,
Gibeah,35.231009,31.823781,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=2+Sam+21%3A6&version=ESV"">2 Sam 21:6</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Sam+23%3A29&version=ESV"">2 Sam 23:29</a>",,,,,,,
Gibeah,35.231009,31.823781,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=1+Chr+11%3A31&version=ESV"">1 Chr 11:31</a>, <a href=""https://www.biblegateway.com/passage/?search=1+Chr+12%3A3&version=ESV"">1 Chr 12:3</a>",,,,,,,
Gibeah,35.231009,31.823781,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=Isa+10%3A29&version=ESV"">Isa 10:29</a>",,,,,,,
Gibeah,35.231009,31.823781,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=Hos+5%3A8&version=ESV"">Hos 5:8</a>, <a href=""https://www.biblegateway.com/passage/?search=Hos+9%3A9&version=ESV"">Hos 9:9</a>, <a href=""https://www.biblegateway.com/passage/?search=Hos+10%3A9&version=ESV"">Hos 10:9</a>",,,,,,,
Crete,25.007204,35.171239,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=Acts+27%3A7&version=ESV"">Acts 27:7</a>, <a href=""https://www.biblegateway.com/passage/?search=Acts+27%3A12&version=ESV"">Acts 27:12</a>, <a href=""https://www.biblegateway.com/passage/?search=Acts+27%3A13&version=ESV"">Acts 27:13</a>, <a href=""https://www.biblegateway.com/passage/?search=Acts+27%3A21&version=ESV"">Acts 27:21</a>",,,,,,,
Crete,25.007204,35.171239,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=Titus+1%3A5&version=ESV"">Titus 1:5</a>",,,,,,,
Babylon,44.420882,32.536503,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=2+Kgs+17%3A24&version=ESV"">2 Kgs 17:24</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+17%3A30&version=ESV"">2 Kgs 17:30</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+20%3A12&version=ESV"">2 Kgs 20:12</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+20%3A14&version=ESV"">2 Kgs 20:14</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+20%3A17&version=ESV"">2 Kgs 20:17</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+20%3A18&version=ESV"">2 Kgs 20:18</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+24%3A1&version=ESV"">2 Kgs 24:1</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+24%3A7&version=ESV"">2 Kgs 24:7</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+24%3A10&version=ESV"">2 Kgs 24:10</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+24%3A11&version=ESV"">2 Kgs 24:11</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+24%3A12&version=ESV"">2 Kgs 24:12</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+24%3A15&version=ESV"">2 Kgs 24:15</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+24%3A16&version=ESV"">2 Kgs 24:16</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+24%3A17&version=ESV"">2 Kgs 24:17</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+24%3A20&version=ESV"">2 Kgs 24:20</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A1&version=ESV"">2 Kgs 25:1</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A6&version=ESV"">2 Kgs 25:6</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A7&version=ESV"">2 Kgs 25:7</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A8&version=ESV"">2 Kgs 25:8</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A11&version=ESV"">2 Kgs 25:11</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A13&version=ESV"">2 Kgs 25:13</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A20&version=ESV"">2 Kgs 25:20</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A21&version=ESV"">2 Kgs 25:21</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A22&version=ESV"">2 Kgs 25:22</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A23&version=ESV"">2 Kgs 25:23</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A24&version=ESV"">2 Kgs 25:24</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A27&version=ESV"">2 Kgs 25:27</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Kgs+25%3A28&version=ESV"">2 Kgs 25:28</a>",,,,,,,
Babylon,44.420882,32.536503,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=1+Chr+9%3A1&version=ESV"">1 Chr 9:1</a>",,,,,,,
Babylon,44.420882,32.536503,1,bible,,"<a href=""https://www.biblegateway.com/passage/?search=2+Chr+32%3A31&version=ESV"">2 Chr 32:31</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Chr+33%3A11&version=ESV"">2 Chr 33:11</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Chr+36%3A6&version=ESV"">2 Chr 36:6</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Chr+36%3A7&version=ESV"">2 Chr 36:7</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Chr+36%3A10&version=ESV"">2 Chr 36:10</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Chr+36%3A18&version=ESV"">2 Chr 36:18</a>, <a href=""https://www.biblegateway.com/passage/?search=2+Chr+36%3A20&version=ESV"">2 Chr 36:20</a>",,,,,,,
